time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1966-06-27T10:47:43.020Z,29.615,81.189,15,5.48,mw,,,,,iscgem,iscgem846869,2022-04-26T23:16:38.354Z,"46 km NNE of Dipayal, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1966-06-27T10:49:49.090Z,29.543,80.915,25,5.71,mw,,,,,iscgem,iscgem846870,2022-04-26T23:16:45.474Z,"31 km N of Dipayal, Nepal",earthquake,,13.2,0.58,,reviewed,iscgem,iscgem
1966-06-27T10:59:19.790Z,29.706,80.935,25,6.27,mw,,,,,iscgem,iscgem846871,2022-04-26T23:16:51.427Z,"39 km ESE of D?rchul?, Nepal",earthquake,,4,0.44,,reviewed,iscgem,iscgem
1966-06-27T11:21:42.400Z,29.567,80.852,15,5.47,mw,,,,,iscgem,iscgem846873,2022-04-26T23:16:58.373Z,"34 km NNW of Dipayal, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1966-06-27T13:55:50.220Z,29.61,80.805,12.5,5.49,mw,,,,,iscgem,iscgem846879,2022-04-26T23:16:59.984Z,"34 km SE of D?rchul?, Nepal",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1966-11-05T18:53:02.900Z,28.252,83.798,15,5.23,mw,,,,,iscgem,iscgem841348,2022-04-26T23:06:25.378Z,Nepal,earthquake,,25,0.23,,reviewed,iscgem,iscgem
1966-12-16T20:52:18.010Z,29.535,80.823,20,5.7,mw,,,,,iscgem,iscgem840723,2022-04-26T23:04:54.248Z,"32 km NNW of Dipayal, Nepal",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1966-12-18T22:42:38.590Z,29.599,80.805,15,5.15,mw,,,,,iscgem,iscgem840776,2022-04-26T23:04:59.659Z,"35 km SE of D?rchul?, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1966-12-21T22:11:00.000Z,29.639,80.801,15,5.48,mw,,,,,iscgem,iscgem840866,2022-04-26T23:05:16.577Z,"32 km SE of D?rchul?, Nepal",earthquake,,13.2,0.48,,reviewed,iscgem,iscgem
1967-12-18T10:51:33.800Z,29.303,81.793,15,5.31,mw,,,,,iscgem,iscgem828516,2022-04-26T22:41:18.570Z,"38 km W of Jumla, Nepal",earthquake,,12,0.31,,reviewed,iscgem,iscgem
1968-05-27T18:35:58.070Z,29.818,80.61,15,5.33,mw,,,,,iscgem,iscgem823027,2022-04-26T22:33:55.534Z,"5 km ESE of D?rchul?, Nepal",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1969-03-03T06:20:22.160Z,30.076,79.97,16,5.32,mw,,,,,iscgem,iscgem810469,2022-04-26T22:10:11.531Z,"32 km NE of B?geshwar, India",earthquake,,8.1,0.2,,reviewed,iscgem,iscgem
1970-02-12T01:51:48.800Z,29.276,81.648,15.2,5.4,mw,,,,,iscgem,iscgem799042,2022-04-26T21:48:38.680Z,"48 km N of Dailekh, Nepal",earthquake,,3.6,0.42,,reviewed,iscgem,iscgem
1970-02-26T19:30:06.160Z,27.653,85.914,10,5.41,mw,,,,,iscgem,iscgem799449,2022-04-26T21:49:29.239Z,"34 km S of Kod?ri??, Nepal",earthquake,,4.8,0.33,,reviewed,iscgem,iscgem
1970-07-21T15:37:43.570Z,27.977,84.76,15,5.24,mw,,,,,iscgem,iscgem793928,2022-04-26T21:35:30.499Z,"46 km NE of Bharatpur, Nepal",earthquake,,10.1,0.2,,reviewed,iscgem,iscgem
1972-02-04T14:08:22.930Z,30.338,84.454,15,5.28,mw,,,,,iscgem,iscgem775960,2022-04-26T20:55:38.435Z,"134 km NW of Saga, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1972-08-21T14:04:33.600Z,27.375,87.999,15,5.12,mw,,,,,iscgem,iscgem770787,2022-04-26T20:45:33.197Z,"27 km WNW of Gyalshing, India",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1973-03-22T01:06:56.470Z,28.111,87.142,15,5.28,mw,,,,,iscgem,iscgem763171,2022-04-27T18:58:03.400Z,"26 km NE of Lobujya, Nepal",earthquake,,25,0.24,,reviewed,iscgem,iscgem
